Código de artículo;Nombre del producto;Sección de producción;Nombre de búsqueda;Tipo de producto;Subtipo de producto;Grupo de dimensiones de producto;Código 1;Código 2;Código 3;Código 4;Grupo 1;Grupo 2;Tipo de producción
40100248;PES BEIGE AHT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100249;PES BLANCO AHT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100250;PES GRIS OXIDON 610;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100251;PES MARRON RAL 8014 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100252;PES GRIS 7011 ANTRACITA;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100253;PES MARFIL RAL 1015 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100254;PES GRIS RAL 7038 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100255;PES BLANCO TEXTURADO STUDIO 101;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100256;PES GRIS RAL 7021 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100257;PES BLANCO BJ01 ZF;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100258;PES NEGRO RAL 9011 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100259;PES AZUL RAL 5009 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100260;PES OXIDO D2525 SABLE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100261;PES GRIS HEROAL;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
